medicaments;QuantiteStock;PrixCession;PrixPublic;DateSortie;Listes;Classes;Formes;;;;;;;
;;;;;;;
EAU;;Sachets Granules poudres orales;;;;;;;
Marimer spray nasal hypertonique;13;2?781 CFA;3?910 CFA;03/06/2023;SANS TABLEAU;;Gouttes nasales;;;;;;;
Diclowal 100mg suppo B/10;13;1?685 CFA;2?399 CFA;15/09/2023;LISTE II;Antiinflammatoire non steroidien Antalgique Antipy;Suppositoires;;;;;;;
Sintrom 4mg cpr sec b/30;13;1?463 CFA;2?096 CFA;11/09/2023;LISTE I;;Comprimes Gelules;;;;;;;
Genforte sp;13;802 CFA;1?157 CFA;19/09/2023;LISTE II;;Sirops;;;;;;;
Tiorfan 30mg;13;4?112 CFA;5?821 CFA;15/09/2023;LISTE I;;Sachets Granules poudres orales;;;;;;;
Allergyl sp Fl/60ml ;13;264 CFA;371 CFA;09/09/2023;SANS TABLEAU;Antihistaminique Antiallergique;Sirops;;;;;;;
Marimer baby sol nasal isotoniq spr fl/100ml;13;2?649 CFA;3?724 CFA;15/09/2023;SANS TABLEAU;;Spray aerosol;;;;;;;
Fucidine 2% creme T/15gr;13;1?521 CFA;2?178 CFA;19/09/2023;LISTE I;Antiinfectieux Antibacterien;Pommades cremes;;;;;;;
Doliprane 500mg  sachet B/12;13;750 CFA;1?054 CFA;19/09/2023;SANS TABLEAU;Antalgique Antipyretique;Sachets Granules poudres orales;;;;;;;
Netazox 500 cp B/6;13;0 CFA;0 CFA;09/08/2023;SANS TABLEAU;Antidiarrheique Antiinfectieux intestinal;Comprimes Gelules;;;;;;;
Guigoz1;13;1?996 CFA;2?495 CFA;19/09/2023;SANS TABLEAU;;Farines et lait;;;;;;;
Zyloric 100mg cpr b/28;13;1?101 CFA;1?588 CFA;05/09/2023;I;;Comprimes Gelules;;;;;;;
Supradyne cp eff B/10 sans sucre;13;2?133 CFA;2?998 CFA;06/09/2023;SANS TABLEAU;Supplement vitaminique;Comprimes Gelules;;;;;;;
Gestarelle G cp B/30;13;2?356 CFA;3?312 CFA;11/09/2023;SANS TABLEAU;Supplement vitaminique;Comprimes Gelules;;;;;;;
Primalan 5mg cp B/14;13;1?982 CFA;2?786 CFA;17/09/2023;SANS TABLEAU;Antihistaminique Antiallergique;Comprimes Gelules;;;;;;;
Sitrus sr comprimes;13;2?180 CFA;3?065 CFA;19/09/2023;SANS TABLEAU;;Comprimes Gelules;;;;;;;
Amapine 5 cp b/30;13;3?538 CFA;5?014 CFA;17/09/2023;LISTE I;;Comprimes Gelules;;;;;;;
Amapine 10 cp b/10;13;4?787 CFA;6?770 CFA;19/09/2023;LISTE I;;Comprimes Gelules;;;;;;;
Huile de ricin fl/30ml;13;452 CFA;695 CFA;19/09/2023;SANS TABLEAU;;Divers ;;;;;;;
Eosine aqueuse 2% fl/30ml;13;475 CFA;730 CFA;16/09/2023;SANS TABLEAU;;Divers ;;;;;;;
Fixim sp;13;2?604 CFA;3?701 CFA;19/09/2023;LISTE I;;Sirops;;;;;;;
Cyteal sol mouss Fl/500ml;13;2?632 CFA;3?700 CFA;19/09/2023;SANS TABLEAU;Antiseptique externe;Solutions externes lotions;;;;;;;
Sportie ultra mince b/48;13;281 CFA;432 CFA;21/06/2023;SANS TABLEAU;;Divers ;;;;;;;
Alvityl vitalite cpr b/40;13;4?554 CFA;6?402 CFA;19/09/2023;SANS TABLEAU;;Comprimes Gelules;;;;;;;
Cardiurine cp B/30;13;2?519 CFA;3?581 CFA;19/09/2023;LISTE I;Antihypertenseur (IEC + DT);Comprimes Gelules;;;;;;;
Saforelle sol fl/100ml;13;1?015 CFA;1?427 CFA;17/09/2023;SANS TABLEAU;;Spray solutions externes;;;;;;;
Fervex Enf sachet B/8 sans sucre;13;1?639 CFA;2?304 CFA;14/09/2023;SANS TABLEAU;Rhume et etat grippal;Sachets Granules poudres orales;;;;;;;
Ibuprofen 400mg denk plag/10x10 cp;13;318 CFA;477 CFA;19/09/2023;LISTE II;Antiinflammatoire non steroidien Antalgique Antipy;Comprimes Gelules;;;;;;;
Hydrosol eurolab gtte;14;583 CFA;819 CFA;11/09/2023;SANS TABLEAU;;Gouttes buvables;;;;;;;
Flucazol 100mg cp B/10;14;1?500 CFA;2?149 CFA;17/09/2023;LISTE I;Antimycosique Antifongique;Comprimes Gelules;;;;;;;
Nuravit 4mg cp b/15;14;1?839 CFA;2?615 CFA;19/09/2023;LISTE II;;Comprimes Gelules;;;;;;;
Sporalim lotion FL/30ml;14;1?120 CFA;1?574 CFA;19/09/2023;SANS TABLEAU;Antidermatophyte;Solutions externes lotions;;;;;;;
Cofantrine ad 80/400mg cp bt/6;14;1?717 CFA;2?454 CFA;16/09/2023;LISTE I;;Comprimes Gelules;;;;;;;
Anginovag 10 ml are sol;14;2?055 CFA;2?889 CFA;19/09/2023;SANS TABLEAU;Antiseptique Antalgique;Collutoire pressurise;;;;;;;
Fervex Framboise AD sol buv sach b/8;14;0 CFA;0 CFA;14/06/2023;SANS TABLEAU;;Sachets Granules poudres orales;;;;;;;
Nido 1+ croiss lait pdre b/900g;14;303 CFA;486 CFA;19/09/2023;ST;;Lait;;;;;;;
Duotrav collyre;14;11?939 CFA;16?826 CFA;15/09/2023;LISTE I;;Collyres;;;;;;;
Feremi sp ;14;83 CFA;156 CFA;12/09/2023;II;;Sirops;;;;;;;
Gel antiseptique main valda 50ml;14;437 CFA;793 CFA;06/09/2023;SANS TABLEAU;;Solutions externes lotions;;;;;;;
Ciprofloxacine 750 cp UBI b/10x10;14;544 CFA;804 CFA;16/09/2023;LISTE I;;Comprimes Gelules;;;;;;;
Dakin cooper fl/250ml;14;942 CFA;1?354 CFA;18/09/2023;LISTE II;;Spray solutions externes;;;;;;;
Clomigen 50mg cp b/5;14;2?641 CFA;3?753 CFA;19/09/2023;LISTE I;;Comprimes Gelules;;;;;;;
Nupenta dsr 40mg/10mg/20mg gel b/30;14;6?698 CFA;9?457 CFA;17/09/2023;ST;;Comprimes Gelules;;;;;;;
Septyl BB fl/200ml;14;1?205 CFA;1?694 CFA;19/09/2023;SANS TABLEAU;;Bains de bouche;;;;;;;
Neurobion cp;14;1?634 CFA;2?327 CFA;17/09/2023;LISTE II;;Comprimes Gelules;;;;;;;
Nystatine ubi 100000UI/ml susp buv f30ml;14;878 CFA;1?274 CFA;26/08/2023;LISTE I;;Sirops;;;;;;;
Metro gh 500mg b/20;15;929 CFA;1?346 CFA;19/09/2023;I;;Comprimes Gelules;;;;;;;
Flucazol sp  500mg/5ml Fl/60ml;15;1?501 CFA;2?150 CFA;09/09/2023;LISTE I;Antimycosique Antifongique;Sirops;;;;;;;
Aldactone 50mg cp B/20;15;3?409 CFA;4?823 CFA;11/09/2023;LISTE II;Diuretique;Comprimes Gelules;;;;;;;
Trifed plus 50mg cp b/20;15;781 CFA;1?098 CFA;19/09/2023;SANS TABLEAU;;Comprimes Gelules;;;;;;;
Alpraz 1mg cp B/14;15;1?418 CFA;2?033 CFA;15/09/2023;LISTE I;Anxiolytique;Comprimes Gelules;;;;;;;
Defal 30mg cp;15;5?289 CFA;7?476 CFA;19/09/2023;LISTE I;;Comprimes Gelules;;;;;;;
Sensodyne soins complets;15;2?799 CFA;5?079 CFA;12/09/2023;SANS TABLEAU;;Dentifrices et brosses;;;;;;;
Diclo denk cpr ret 100mg bt/10;15;675 CFA;979 CFA;05/09/2023;LISTE II;;Comprimes Gelules;;;;;;;
Sonde foley labell mixte ch16 orange/1;15;1?248 CFA;1?959 CFA;03/05/2023;ST;;Divers ;;;;;;;
Prenatal denk;15;218 CFA;4?199 CFA;19/09/2023;SANS TABLEAU;;Comprimes Gelules;;;;;;;
Nidazol 250mg cp ;15;1?052 CFA;1?519 CFA;17/09/2023;LISTE I;;Comprimes Gelules;;;;;;;
Pregasafe 75mg gel b/30;15;6?444 CFA;9?100 CFA;19/09/2023;LISTE I;;Comprimes Gelules;;;;;;;
Brimo collyre;15;4?644 CFA;6?569 CFA;13/09/2023;LISTE I;;Collyres;;;;;;;
Flubenda GH sp/30ml;15;1?477 CFA;2?116 CFA;17/09/2023;I;;Sirops;;;;;;;
Artane 5mg cp B/20;15;887 CFA;1?287 CFA;19/09/2023;LISTE I;Antiparkinsonien Anticholinergique;Comprimes Gelules;;;;;;;
Deslora denk;15;2?867 CFA;4?061 CFA;19/09/2023;LISTE II;;Comprimes Gelules;;;;;;;
Vogalene 0.4% gtte buv  FL/30ml;15;1?228 CFA;1?756 CFA;04/09/2023;LISTE II;Cicatrisation corneenne ;Collyres;;;;;;;
Loxen 10mg/10ml inject b/5;15;3?395 CFA;4?813 CFA;17/09/2023;LISTE I;;Injectables;;;;;;;
Oxytroy inj;15;656 CFA;962 CFA;15/09/2023;LISTE II;;Injectables;;;;;;;
Feremi cp b/30;15;1?208 CFA;1?698 CFA;19/09/2023;SANS TABLEAU;;Comprimes Gelules;;;;;;;
Omeprazole ubi 20mg cpr 10bl7;15;513 CFA;721 CFA;06/09/2023;SANS TABLEAU;;Comprimes Gelules;;;;;;;
Ventoline 2.5 /2.5ml sol inh unid b/20;16;2?571 CFA;3?654 CFA;16/08/2023;LISTE I;;Inhalation;;;;;;;
Cerulyse gtte aur ;16;728 CFA;1?023 CFA;19/09/2023;SANS TABLEAU;Anticerumen;Gouttes auriculaires;;;;;;;
Valda diet past sans sucre  B/60;16;639 CFA;898 CFA;17/09/2023;SANS TABLEAU;Adoucissant de la gorge;Pastilles;;;;;;;
Bande de  crepe 4x5;16;341 CFA;524 CFA;14/09/2023;SANS TABLEAU;;;;;;;;;
Lasilix 40mg cp B/30;16;1?745 CFA;2?483 CFA;19/09/2023;LISTE II;Diuretique;Comprimes Gelules;;;;;;;
Biofar 12vit/12min;16;3?051 CFA;4?500 CFA;19/09/2023;SANS TABLEAU;Supplement vitaminique;Comprimes Gelules;;;;;;;
Biofar Mg VitB6 cp B/20;16;1?471 CFA;2?169 CFA;16/09/2023;SANS TABLEAU;Supplements mineraux;Comprimes Gelules;;;;;;;
Metformin denk 850mg detail;16;678 CFA;993 CFA;09/09/2023;LISTE I;;Comprimes Gelules;;;;;;;
Klipal 600 cp;16;1?141 CFA;1?644 CFA;11/09/2023;LISTE I;;Comprimes Gelules;;;;;;;
Melex cp;16;1?777 CFA;2?528 CFA;11/09/2023;LISTE II;;Comprimes Gelules;;;;;;;
Restriva 500mg cp;16;784 CFA;1?142 CFA;19/09/2023;LISTE I;;Comprimes Gelules;;;;;;;
Alcool 70e Gilbert fl/125 ml;16;657 CFA;923 CFA;09/09/2023;SANS TABLEAU;;Solutions externes lotions;;;;;;;
Novoclin 1g b/16;16;5?538 CFA;7?826 CFA;19/09/2023;LISTE I;;Sachets Granules poudres orales;;;;;;;
Fervex AD sach B/8;16;1?659 CFA;2?332 CFA;19/09/2023;SANS TABLEAU;Rhume et etat grippal;Sachets Granules poudres orales;;;;;;;
"Desomedine 0;""1% cy Fl/10ml;16;859 CFA;1?207 CFA;13/09/2023;SANS TABLEAU;Antiepileptique oculaire;Collyres"";;;;;;"
Strimol extra cp;17;783 CFA;1?100 CFA;18/09/2023;SANS TABLEAU;;Comprimes Gelules;;;;;;;
Genta gtte a;17;877 CFA;1?273 CFA;18/09/2023;LISTE I;;Gouttes auriculaires;;;;;;;
Irex 12 cp B/30 sans sucre;17;1?293 CFA;1?817 CFA;16/08/2023;SANS TABLEAU;Antianemique ;Comprimes Gelules;;;;;;;
Aldomet 500mg cp B/30;17;2?794 CFA;3?968 CFA;19/09/2023;LISTE I;Antihypertenseur (Action centrale);Comprimes Gelules;;;;;;;
"Alpraz 0;""5 mg cp B/28;17;1?423 CFA;2?040 CFA;19/09/2023;LISTE I;Anxiolytique;Comprimes Gelules"";;;;;;"
Flixotide 50mcg 120dose b/1;17;1?510 CFA;2?163 CFA;04/09/2023;LISTE I;;Spray aerosol;;;;;;;
Sedorrhoide creme;17;1?543 CFA;2?169 CFA;18/09/2023;SANS TABLEAU;;Gel rectal;;;;;;;
Boncipro perf;17;2?629 CFA;3?736 CFA;16/08/2023;LISTE I;;Injectables;;;;;;;
Croissard 500mg/250ui cp b/15;17;1?050 CFA;1?516 CFA;17/09/2023;ST;;Comprimes Gelules;;;;;;;
Macromax 500mg  cp b/3;17;3?732 CFA;5?287 CFA;14/09/2023;LISTE I;;Comprimes Gelules;;;;;;;
Nozinan 100mg cp B/20;17;3?345 CFA;3?716 CFA;17/09/2023;LISTE I;Antipsychotique Neuroleptique;Comprimes Gelules;;;;;;;
Brustan sp FL/100ml;17;807 CFA;1?164 CFA;19/09/2023;LISTE II;Antiinflammatoire non steroidien;Sirops;;;;;;;
Tegretol LP 400mg cp B/30;17;5?165 CFA;7?291 CFA;05/09/2023;LISTE II;Antiepileptique;Comprimes Gelules;;;;;;;
Cromsol cy;17;671 CFA;943 CFA;09/09/2023;SANS TABLEAU;Antiallergique;Collyres;;;;;;;
Sonde 18;17;691 CFA;1?062 CFA;15/08/2023;;;Divers ;;;;;;;
Curam 1000mg cp B/10;17;5?562 CFA;7?820 CFA;05/09/2023;SANS TABLEAU;Antiinfectieux Antibacterien (Penicillines);Comprimes Gelules;;;;;;;
Halopara 100mg cp b/8;17;705 CFA;991 CFA;26/08/2023;SANS TABLEAU;;Comprimes Gelules;;;;;;;
Maxidrol cy 5ml;17;1?186 CFA;1?707 CFA;16/09/2023;LISTE I;Antiinfectieux Antiinflammatoire steroidien;Collyres;;;;;;;
Moustiquaire rectangulaire;17;3?100 CFA;4?767 CFA;17/07/2023;SANS TABLEAU;;Divers ;;;;;;;
Neuheptavit sp f/200ml;17;1?774 CFA;2?494 CFA;19/09/2023;SANS TABLEAU;;Sirops;;;;;;;
Sportie longue duree b/48;17;500 CFA;769 CFA;07/08/2023;SANS TABLEAU;;Divers ;;;;;;;
Gensil saw palmeto cp b/60;17;3?418 CFA;5?296 CFA;24/05/2023;ST;;Comprimes Gelules;;;;;;;
Test grossesse;18;2?926 CFA;4?153 CFA;19/05/2023;;;;;;;;;;
Aclav 100/12.5 buv f/60ml;18;0 CFA;40 CFA;18/09/2023;;;Sirops;;;;;;;
Alfamox 250mg/5ml pdre susp f/125ml;18;1?733 CFA;2?476 CFA;16/09/2023;LISTE I;;Sirops;;;;;;;
Nemozole cp B/1;18;0 CFA;30 CFA;01/09/2023;LISTE II;Antihelminthique Antiparasitaire;Comprimes Gelules;;;;;;;
Gel antiseptique main valda fl/ 500ml;18;1?308 CFA;2?373 CFA;09/09/2023;SANS TABLEAU;;Gel cutane;;;;;;;
Compresse 20x20;18;388 CFA;596 CFA;16/09/2023;SANS TABLEAU;;;;;;;;;
Vitapetine sp FL/125ml;18;2?382 CFA;3?349 CFA;19/09/2023;SANS TABLEAU;Supplement vitaminique;Sirops;;;;;;;
NaN optipro 3  b/400g;18;2?406 CFA;3?382 CFA;18/09/2023;SANS TABLEAU;;Lait;;;;;;;
C-Tri 1g B/amp;18;1?752 CFA;2?463 CFA;19/09/2023;SANS TABLEAU;Antiinfectieux Antibacterien (Cephalosporines 3 ge;Injectables;;;;;;;
Bactoclav 1000mg cp;18;2?654 CFA;3?771 CFA;18/09/2023;LISTE I;;Comprimes Gelules;;;;;;;
Fludol gelules b/10x10;18;349 CFA;490 CFA;19/09/2023;SANS TABLEAU;;Comprimes Gelules;;;;;;;
Talodol Pcp 37.5/325mg cp b/10;18;528 CFA;782 CFA;19/09/2023;I;;Comprimes Gelules;;;;;;;
Troycal cp;18;1?211 CFA;1?732 CFA;02/09/2023;LISTE II;;Comprimes Gelules;;;;;;;
Aureomycine vald 3% derm T/15g;18;339 CFA;516 CFA;19/09/2023;LISTE I;Antiinfectieux Antibacterien;Pommades cremes;;;;;;;
Desloratadine gh;18;40 CFA;101 CFA;09/09/2023;;;;;;;;;;
Vaxigrip;19;4?697 CFA;6?603 CFA;11/06/2023;SANS TABLEAU;;Vaccins;;;;;;;
Trimetabol sp FL/150ml;19;2?179 CFA;3?063 CFA;19/09/2023;SANS TABLEAU;Stimulant de leappetit;Sirops;;;;;;;
Fleming 1g/125mc cp B/16;19;4?031 CFA;5?697 CFA;17/09/2023;LISTE II;Antiinfectieux Antibacterien (Penicillines);Comprimes Gelules;;;;;;;
Dicynone 500mg cp B/20 sans sucre;19;2?735 CFA;3?845 CFA;15/09/2023;SANS TABLEAU;Antihemorragique ;Comprimes Gelules;;;;;;;
Doliprane suppo 100mg B/10;19;732 CFA;1?059 CFA;10/08/2023;LISTE II;;Suppositoires;;;;;;;
Bande de gaze 3x10;19;1?629 CFA;2?505 CFA;11/08/2023;SANS TABLEAU;;Divers ;;;;;;;
Mycoster 1% creme T/30gr;19;2?619 CFA;3?682 CFA;15/09/2023;SANS TABLEAU;Antimycosique Antifongique;Pommades cremes;;;;;;;
Aclav 1g bte 16;19;5?242 CFA;7?410 CFA;15/09/2023;LISTE I;;Sachets Granules poudres orales;;;;;;;
Glucophage 500mg cp B/30;19;797 CFA;1?160 CFA;16/09/2023;LISTE I;;Comprimes Gelules;;;;;;;
Norflozole sirop;19;1?319 CFA;1?894 CFA;19/09/2023;LISTE I;;Sirops;;;;;;;
Dazel kit;19;4?869 CFA;6?885 CFA;18/09/2023;LISTE I;;Comprimes Gelules;;;;;;;
Compresse 30x30;19;851 CFA;1?196 CFA;19/09/2023;SANS TABLEAU;;Divers ;;;;;;;
Ospamox 250mg sp Fl/60ml;19;720 CFA;1?052 CFA;16/09/2023;LISTE I;Antiinfectieux Antibacterien (Penicillines);Sirops;;;;;;;
Vitagen detail;20;346 CFA;486 CFA;17/09/2023;SANS TABLEAU;;Injectables;;;;;;;
Suretest test ovulation b/10;20;585 CFA;939 CFA;12/09/2023;ST;;Divers ;;;;;;;
Vit C 500 mg 10x10;20;159 CFA;253 CFA;30/08/2023;LISTE II;;Comprimes Gelules;;;;;;;
Terzol cp b/1;20;651 CFA;1?041 CFA;06/05/2023;II;;Comprimes Gelules;;;;;;;
Phartrim forte 800/160mg  cpr b/10 ;20;1?062 CFA;1?533 CFA;18/09/2023;LISTE I;;Comprimes Gelules;;;;;;;
Silverex creme T/25ml;20;669 CFA;940 CFA;12/09/2023;SANS TABLEAU;;Pommades cremes;;;;;;;
Gasec 20mg cp B/14;20;7?095 CFA;10?005 CFA;22/07/2023;LISTE II;Antiulcereux (IPP);Comprimes Gelules;;;;;;;
Maalox comprimes ;20;996 CFA;1?430 CFA;13/09/2023;LISTE II;;Comprimes Gelules;;;;;;;
Correctol cy 10ml ;20;653 CFA;918 CFA;19/09/2023;SANS TABLEAU;Vision binoculaire;Collyres;;;;;;;
Eludril pro fl 200ml;20;1?856 CFA;2?609 CFA;19/09/2023;SANS TABLEAU;;Bains de bouche;;;;;;;
Fluca collyre;20;2?645 CFA;3?758 CFA;16/09/2023;LISTE I;;Collyres;;;;;;;
Loperamide creat b/10x10;20;277 CFA;429 CFA;17/09/2023;LISTE I;;Comprimes Gelules;;;;;;;
Megamylase alpha sp Fl/250ml;20;1?479 CFA;2?079 CFA;15/09/2023;SANS TABLEAU;Antiinflammatoire du systeme respiratoire;Sirops;;;;;;;
Dologan denk cp;21;2?634 CFA;3?703 CFA;19/09/2023;SANS TABLEAU;;Comprimes Gelules;;;;;;;
Indocollyre cy 5ml;21;2?151 CFA;3?064 CFA;16/09/2023;LISTE I;Antiinflammatoire Antalgique;Collyres;;;;;;;
Couche maternite soffy bell;21;2?505 CFA;3?522 CFA;26/08/2023;SANS TABLEAU;;Divers ;;;;;;;
Genset sp;21;684 CFA;991 CFA;19/09/2023;LISTE II;;Sirops;;;;;;;
Orofer sirop ;21;1?048 CFA;1?503 CFA;19/09/2023;LISTE II;;Sirops;;;;;;;
Becozyme detail;21;169 CFA;237 CFA;14/09/2023;SANS TABLEAU;;Comprimes Gelules;;;;;;;
"Diprosone 0;""05% creme T/30g;21;2?019 CFA;2?878 CFA;19/09/2023;LISTE I;Dermocorticoide antiinflammatoire;Pommades cremes"";;;;;;"
Fenapar cp ;21;787 CFA;1?136 CFA;18/09/2023;LISTE II;;Comprimes Gelules;;;;;;;
Antadys 100mg cp B/15;21;2?000 CFA;2?842 CFA;15/09/2023;LISTE II;Antiinflammatoire non steroidien;Comprimes Gelules;;;;;;;
Melonax 15 cp;21;2?533 CFA;3?601 CFA;20/08/2023;LISTE I;;Comprimes Gelules;;;;;;;
Tardyferon 20mg/ml enf/ad sol buv f/90ml;21;1?718 CFA;2?415 CFA;13/09/2023;SANS TABLEAU;;Sirops;;;;;;;
Aclav 100/12.5 buv fl/30ml;21;1?560 CFA;2?233 CFA;19/09/2023;LISTE I;;Sirops;;;;;;;
Crocip tz cpr 20mg b/10;21;3?640 CFA;5?157 CFA;11/09/2023;c;;Comprimes Gelules;;;;;;;
Richfer gelules;21;1?742 CFA;2?479 CFA;15/09/2023;LISTE II;;Comprimes Gelules;;;;;;;
Ovumix ;21;2?092 CFA;2?981 CFA;17/09/2023;LISTE I;;Ovules comprimes gynecologiques;;;;;;;
Insulatard ins;22;779 CFA;886 CFA;26/08/2023;LISTE II;;Injectables;;;;;;;
Melocam 15;22;425 CFA;637 CFA;19/09/2023;LISTE I;;Comprimes Gelules;;;;;;;
Distem cp cp;22;3?334 CFA;4?727 CFA;17/09/2023;LISTE I;;Comprimes Gelules;;;;;;;
Cipromed B/10 cp;22;1?055 CFA;1?523 CFA;19/09/2023;LISTE I;Antiinfectieux Antibacterien (Quinlone 2 generatio;Comprimes Gelules;;;;;;;
Spasfon Lyoc 80mg B/10 sans sucre ;22;1?673 CFA;2?352 CFA;19/09/2023;SANS TABLEAU;Antispasmodique;Lyophilisants oraux;;;;;;;
Clamoxyl 500mg gel B/12 sans sucre;22;1?003 CFA;1?450 CFA;01/09/2023;LISTE I;Antiinfectieux Antibacterien (Penicillines);Comprimes Gelules;;;;;;;
Moustiquaire circulaire xxl;22;5?260 CFA;5?786 CFA;18/09/2023;SANS TABLEAU;;;;;;;;;
Chlorure de calcium inj;22;250 CFA;351 CFA;06/06/2023;SANS TABLEAU;;Injectables;;;;;;;
Azicure 250 cp;22;2?619 CFA;3?722 CFA;01/09/2023;LISTE I;;Comprimes Gelules;;;;;;;
Revitalose amp B/20;22;3?268 CFA;4?594 CFA;16/09/2023;SANS TABLEAU;Antiasthenique;Ampoules buvables;;;;;;;
Sussli sucre;22;1?373 CFA;1?930 CFA;18/09/2023;SANS TABLEAU;;;;;;;;;
Metronidazole 500mg creat plaq/10 cp;22;351 CFA;533 CFA;09/09/2023;Liste I;Antiinfectieux Antiparasitaire (Nitro imidazoles);Comprimes Gelules;;;;;;;
Gants steriles 7.5;23;304 CFA;467 CFA;19/09/2023;SANS TABLEAU;;Divers ;;;;;;;
Soclav 1g b/16 sachets;23;4?289 CFA;6?070 CFA;19/09/2023;LISTE I;;Sachets Granules poudres orales;;;;;;;
Cipromed TZ cp B/10;23;1?322 CFA;1?898 CFA;19/09/2023;LISTE I;Antiinfectieux Antibacterien;Comprimes Gelules;;;;;;;
Coton codex hydro labell 100g;23;2?144 CFA;3?337 CFA;19/09/2023;ST;;Divers ;;;;;;;
Pyrantel gh 5% sp/15ml;23;864 CFA;1?368 CFA;18/07/2023;ST;;Sirops;;;;;;;
Dynapar SR 100 cp b/10x10;23;386 CFA;572 CFA;18/09/2023;LISTE II;;Comprimes Gelules;;;;;;;
Spasmotroy 80 cp;24;1?818 CFA;2?556 CFA;19/09/2023;SANS TABLEAU;;Comprimes Gelules;;;;;;;
Donormyl 15mg cp eff b/10;24;2?482 CFA;3?489 CFA;19/09/2023;SANS TABLEAU;;Comprimes Gelules;;;;;;;
Pectogen sirop;24;1?043 CFA;1?466 CFA;18/09/2023;SANS TABLEAU;;Sirops;;;;;;;
Cerelac ble pot 400g;24;2?040 CFA;3?009 CFA;15/08/2023;SANS TABLEAU;;Farines et lait;;;;;;;
Gensil sp;24;1?570 CFA;2?238 CFA;19/09/2023;LISTE II;;Sirops;;;;;;;
Genclav 1g/125mg pdre buv sach /16;24;4?437 CFA;6?268 CFA;19/09/2023;LISTE II;;Sachets Granules poudres orales;;;;;;;
Vogalene sp FL/150ml;25;1?853 CFA;2?636 CFA;19/09/2023;LISTE II;;Comprimes Gelules;;;;;;;
Fluditec sp Enf F/125ml;25;1?300 CFA;1?827 CFA;22/08/2023;SANS TABLEAU;Antitussif Expectorant;Sirops;;;;;;;
Betadine rouge scrub Fl/125ml;25;913 CFA;1?283 CFA;19/09/2023;SANS TABLEAU;Antiseptique externe;Solutions externes lotions;;;;;;;
Fucidine 2% pde T/15gr;25;1?513 CFA;2?167 CFA;17/09/2023;LISTE I;Antiinfectieux Antibacterien;Pommades cremes;;;;;;;
Tanganil 500mg inj B/5 amp;25;1?515 CFA;2?130 CFA;15/09/2023;SANS TABLEAU;Antivertigineux;Injectables;;;;;;;
Leukoplast 5Mx18Cm;25;360 CFA;553 CFA;16/09/2023;SANS TABLEAU;;Comprimes Gelules;;;;;;;
Dolex 75 cp;26;2?181 CFA;3?096 CFA;17/09/2023;LISTE II;;Comprimes Gelules;;;;;;;
Hypafix 10cmx2m;26;1?078 CFA;1?657 CFA;16/09/2023;SANS TABLEAU;;Divers ;;;;;;;
Physiolac 1;26;3?980 CFA;4?975 CFA;09/09/2023;SANS TABLEAU;;Farines et lait;;;;;;;
Rifamycine chibret cy FL/10ml;26;1?671 CFA;2?390 CFA;19/09/2023;LISTE I;Antiinfectieux Antibacterien;Collyres;;;;;;;
Neuibu p forte 100/125mg sup f/60ml;26;698 CFA;1?011 CFA;10/08/2023;LISTE II;;Comprimes Gelules;;;;;;;
Skilax gtte buv FL/15ml;27;1?052 CFA;1?479 CFA;19/09/2023;SANS TABLEAU;Laxatif;Gouttes buvables;;;;;;;
Efferalgan 1g sec;27;812 CFA;1?141 CFA;19/09/2023;SANS TABLEAU;;Comprimes Gelules;;;;;;;
Duphaston cp B/10;27;1?649 CFA;2?358 CFA;18/09/2023;LISTE I;Progestatif ;Comprimes Gelules;;;;;;;
Cerelac 3 fruits;27;2?495 CFA;3?680 CFA;15/08/2023;SANS TABLEAU;;Farines et lait;;;;;;;
Erythromycine 250 creat bte/10 x10;27;585 CFA;862 CFA;19/09/2023;I;;Comprimes Gelules;;;;;;;
Coton 50g;27;322 CFA;584 CFA;12/09/2023;SANS TABLEAU;;Divers ;;;;;;;
Azicure 500 cp;27;3?531 CFA;5?004 CFA;19/09/2023;LISTE I;;Comprimes Gelules;;;;;;;
Respibien  gtte nasale FL/15ml;27;987 CFA;1?417 CFA;05/09/2023;LISTE II;Decongestif nasal Antiseptique;Gouttes/Spray nasal;;;;;;;
Flugen sp;27;875 CFA;1?270 CFA;09/09/2023;LISTE I;;Sirops;;;;;;;
Desloratadine biogaran 5mg cp pell b/15;27;1?521 CFA;2?380 CFA;19/09/2023;;;;;;;;;;
Tetanea ;28;2?110 CFA;2?966 CFA;19/09/2023;SANS TABLEAU;;Vaccins;;;;;;;
Celestene 2mg cp B/20;28;2?134 CFA;3?040 CFA;19/09/2023;LISTE I;Antiinflammatoire steroidien;Comprimes Gelules;;;;;;;
Drill rhume cp;28;1?282 CFA;1?802 CFA;18/09/2023;SANS TABLEAU;;Comprimes Gelules;;;;;;;
Boncipro gtte;28;1?319 CFA;1?894 CFA;18/09/2023;LISTE I;;Gouttes auriculaires;;;;;;;
Peptex 250mg/250mgsup buv f/200ml;28;1?521 CFA;2?178 CFA;19/09/2023;ST;;Sirops;;;;;;;
Indocinex coll f/5ml;28;1?619 CFA;2?530 CFA;19/09/2023;I;;Collyres;;;;;;;
Flugen cp;28;1?303 CFA;1?832 CFA;19/09/2023;SANS TABLEAU;;Comprimes Gelules;;;;;;;
Bilaxten 20mg cp b/10;28;2?765 CFA;3?917 CFA;09/09/2023;LISTE II;;Comprimes Gelules;;;;;;;
